iter	Passed	Remaining
0	13	1301
1	24	1206
2	37	1209
3	49	1177
4	60	1157
5	73	1153
6	86	1144
7	97	1118
8	109	1107
9	120	1087
10	131	1066
11	144	1060
12	156	1044
13	166	1024
14	178	1010
15	190	997
16	201	984
17	214	976
18	224	958
19	235	943
20	248	936
21	261	927
22	274	918
23	286	908
24	298	894
25	310	883
26	322	872
27	333	857
28	345	846
29	357	834
30	369	821
31	382	812
32	394	801
33	405	786
34	416	773
35	428	762
36	440	750
37	452	737
38	464	726
39	475	713
40	489	703
41	501	692
42	511	678
43	523	666
44	535	654
45	545	640
46	557	628
47	569	616
48	579	603
49	590	590
50	603	580
51	615	568
52	628	556
53	639	544
54	650	532
55	662	520
56	676	510
57	687	497
58	698	485
59	711	474
60	722	461
61	733	449
62	744	437
63	756	425
64	768	413
65	780	401
66	792	390
67	804	378
68	817	367
69	827	354
70	838	342
71	850	330
72	861	318
73	873	306
74	885	295
75	896	282
76	907	271
77	920	259
78	931	247
79	942	235
80	954	223
81	966	212
82	977	200
83	991	188
84	1003	177
85	1015	165
86	1027	153
87	1038	141
88	1051	130
89	1064	118
90	1075	106
91	1087	94
92	1099	82
93	1110	70
94	1122	59
95	1134	47
96	1145	35
97	1155	23
98	1168	11
99	1177	0
